"ID","RSSI","latitude","longitude"
1,-63,30.62071739,-96.34027701
2,-63,30.6207171,-96.34027792
3,-53,30.62070336,-96.34026541
4,-63,30.62065369,-96.34021719
5,-64,30.62061598,-96.34016444
6,-67,30.62056789,-96.34011193
7,-67,30.62052894,-96.34010589
8,-66,30.62050017,-96.34006452
9,-55,30.62048663,-96.34005482
10,-61,30.62045907,-96.34008412
11,-73,30.62038875,-96.34011979
12,-55,30.62031568,-96.34013758
13,-52,30.62026151,-96.34020441
14,-57,30.62021889,-96.34034623
15,-65,30.62023527,-96.34044458
16,-56,30.62028016,-96.3405091
17,-57,30.62031448,-96.34056163
18,-49,30.62035021,-96.34061199
19,-49,30.62038557,-96.34066915
20,-46,30.62041716,-96.34073547
21,-44,30.62046087,-96.34079062
22,-49,30.62049595,-96.34085165
23,-61,30.62053778,-96.34092163
24,-63,30.62057086,-96.3409608
25,-53,30.62064533,-96.34102465
26,-66,30.62070611,-96.34097534
27,-65,30.620746,-96.34089554
28,-63,30.62071612,-96.34085106
29,-64,30.62066863,-96.34078993
30,-64,30.62062549,-96.34074078
31,-53,30.62056717,-96.34067534
32,-51,30.62056225,-96.34061849
33,-47,30.62059079,-96.34057625
34,-48,30.6206112,-96.34055447
35,-68,30.62063483,-96.34051639
36,-71,30.62064648,-96.34049738
37,-59,30.62067005,-96.34046309
38,-68,30.62069397,-96.3404206
39,-71,30.62073936,-96.34031129
40,-61,30.62074144,-96.34027298
41,-69,30.62073371,-96.34026544
